#alpha3	indicator	year	index	rank
ALB	edu	2008	0.9907	68.0
ALB	edu	2009	0.9906	73.0
ALB	edu	2010	0.9942	52.0
ALB	edu	2011	0.9809	87.0
ALB	edu	2012	0.989	76.0
ALB	edu	2013	0.9755	92.0
ALB	edu	2014	0.97	98.0
ALB	edu	2015	0.972	98.0
ALB	edu	2016	0.986	88.0
ALB	edu	2017	0.986	87.0
ALB	edu	2018	0.987	91.0
ALB	edu	2019	0.999	40.0
ALB	edu	2020	0.999	42.0
ALB	health	2006	0.9553	110.0
ALB	health	2007	0.9553	116.0
ALB	health	2008	0.9553	118.0
ALB	health	2009	0.9553	122.0
ALB	health	2010	0.937	131.0
ALB	health	2011	0.9268	135.0
ALB	health	2012	0.9313	133.0
ALB	health	2013	0.9313	134.0
ALB	health	2014	0.9409	139.0
ALB	health	2015	0.947	142.0
ALB	health	2016	0.947	141.0
ALB	health	2017	0.968	120.0
ALB	health	2018	0.963	134.0
ALB	health	2019	0.958	145.0
ALB	health	2020	0.98	147.0
ALB	pol	2006	0.0375	105.0
ALB	pol	2007	0.0375	117.0
ALB	pol	2008	0.0413	119.0
ALB	pol	2009	0.0413	125.0
ALB	pol	2010	0.0785	97.0
ALB	pol	2011	0.0784	99.0
ALB	pol	2012	0.0753	105.0
ALB	pol	2013	0.0256	130.0
ALB	pol	2014	0.1834	55.0
ALB	pol	2015	0.214	50.0
ALB	pol	2016	0.214	53.0
ALB	pol	2017	0.284	31.0
ALB	pol	2018	0.284	34.0
ALB	pol	2019	0.376	23.0
ALB	pol	2020	0.377	30.0
ARE	glob	2006	0.5919	101.0
ARE	glob	2007	0.6184	105.0
ARE	glob	2008	0.622	105.0
ARE	glob	2009	0.6198	112.0
ARE	glob	2010	0.6397	103.0
ARE	glob	2011	0.6454	103.0
ARE	glob	2012	0.6392	107.0
ARE	glob	2013	0.6372	109.0
ARE	glob	2014	0.6436	115.0
ARE	glob	2015	0.646	119.0
ARE	glob	2016	0.639	124.0
ARE	glob	2017	0.649	120.0
ARE	glob	2018	0.642	121.0
ARE	glob	2019	0.655	120.0
ARE	glob	2020	0.716	72.0
ARE	eco	2006	0.4027	109.0
ARE	eco	2007	0.421	119.0
ARE	eco	2008	0.4198	121.0
ARE	eco	2009	0.4148	126.0
ARE	eco	2010	0.4605	120.0
ARE	eco	2011	0.4898	119.0
ARE	eco	2012	0.4751	122.0
ARE	eco	2013	0.4672	122.0
ARE	eco	2014	0.5152	123.0
ARE	eco	2015	0.519	128.0
ARE	eco	2016	0.456	130.0
ARE	eco	2017	0.459	130.0
ARE	eco	2018	0.439	134.0
ARE	eco	2019	0.472	137.0
ARE	eco	2020	0.51	135.0
ARE	edu	2006	0.9861	60.0
ARE	edu	2007	0.9868	68.0
ARE	edu	2008	0.9955	46.0
ARE	edu	2009	0.9918	67.0
ARE	edu	2010	0.9977	37.0
ARE	edu	2011	0.9914	59.0
ARE	edu	2012	1.0	1.0
ARE	edu	2013	1.0	1.0
ARE	edu	2014	0.9875	83.0
ARE	edu	2015	0.987	86.0
ARE	edu	2016	1.0	32.0
ARE	edu	2017	0.994	62.0
ARE	edu	2018	0.979	95.0
ARE	edu	2019	0.987	89.0
ARE	edu	2020	0.987	89.0
ARE	health	2006	0.9643	100.0
ARE	health	2007	0.9612	110.0
ARE	health	2008	0.9612	112.0
ARE	health	2009	0.9612	116.0
ARE	health	2010	0.9612	110.0
ARE	health	2011	0.9612	111.0
ARE	health	2012	0.9612	111.0
ARE	health	2013	0.9612	112.0
ARE	health	2014	0.9612	132.0
ARE	health	2015	0.961	133.0
ARE	health	2016	0.961	132.0
ARE	health	2017	0.965	129.0
ARE	health	2018	0.972	94.0
ARE	health	2019	0.972	94.0
ARE	health	2020	0.96	130.0
ARE	pol	2006	0.0147	112.0
ARE	pol	2007	0.1046	65.0
ARE	pol	2008	0.1114	72.0
ARE	pol	2009	0.1114	76.0
ARE	pol	2010	0.1394	60.0
ARE	pol	2011	0.1394	62.0
ARE	pol	2012	0.1206	81.0
ARE	pol	2013	0.1206	81.0
ARE	pol	2014	0.1106	96.0
ARE	pol	2015	0.115	93.0
ARE	pol	2016	0.139	83.0
ARE	pol	2017	0.18	67.0
ARE	pol	2018	0.18	68.0
ARE	pol	2019	0.191	75.0
ARE	pol	2020	0.403	24.0
ARG	glob	2006	0.6829	41.0
ARG	glob	2007	0.6982	33.0
ARG	glob	2008	0.7209	24.0
ARG	glob	2009	0.7211	24.0
ARG	glob	2010	0.7187	29.0
ARG	glob	2011	0.7236	28.0
ARG	glob	2012	0.7212	32.0
ARG	glob	2013	0.7195	34.0
ARG	glob	2014	0.7317	31.0
ARG	glob	2015	0.734	35.0
ARG	glob	2016	0.735	33.0
ARG	glob	2017	0.732	34.0
ARG	glob	2018	0.733	36.0
ARG	glob	2019	0.746	30.0
ARG	glob	2020	0.752	35.0
ARG	eco	2006	0.5513	82.0
ARG	eco	2007	0.6128	75.0
ARG	eco	2008	0.607	80.0
ARG	eco	2009	0.6029	89.0
ARG	eco	2010	0.6024	87.0
ARG	eco	2011	0.6124	84.0
ARG	eco	2012	0.6075	92.0
ARG	eco	2013	0.5887	101.0
ARG	eco	2014	0.6312	96.0
ARG	eco	2015	0.615	105.0
ARG	eco	2016	0.616	101.0
ARG	eco	2017	0.596	111.0
ARG	eco	2018	0.599	114.0
ARG	eco	2019	0.623	103.0
ARG	eco	2020	0.639	103.0
ARG	edu	2006	0.9965	28.0
ARG	edu	2007	0.996	33.0
ARG	edu	2008	0.9941	57.0
ARG	edu	2009	0.9941	57.0
ARG	edu	2010	0.9953	47.0
ARG	edu	2011	0.9941	51.0
ARG	edu	2012	0.9962	41.0
ARG	edu	2013	0.9962	42.0
ARG	edu	2014	0.9962	50.0
ARG	edu	2015	0.996	55.0
ARG	edu	2016	0.995	54.0
ARG	edu	2017	0.998	44.0
ARG	edu	2018	0.995	63.0
ARG	edu	2019	0.995	64.0
ARG	edu	2020	1.0	1.0
ARG	health	2006	0.9796	1.0
ARG	health	2007	0.9796	1.0
ARG	health	2008	0.9796	1.0
ARG	health	2009	0.9796	1.0
ARG	health	2010	0.9796	1.0
ARG	health	2011	0.9796	1.0
ARG	health	2012	0.9796	1.0
ARG	health	2013	0.9796	1.0
ARG	health	2014	0.9796	1.0
ARG	health	2015	0.98	1.0
ARG	health	2016	0.98	1.0
ARG	health	2017	0.98	1.0
ARG	health	2018	0.98	1.0
ARG	health	2019	0.98	1.0
ARG	health	2020	0.956	48.0
ARG	pol	2006	0.2044	23.0
ARG	pol	2007	0.2044	25.0
ARG	pol	2008	0.3027	15.0
ARG	pol	2009	0.3077	14.0
ARG	pol	2010	0.2976	20.0
ARG	pol	2011	0.3084	20.0
ARG	pol	2012	0.3018	24.0
ARG	pol	2013	0.3136	24.0
ARG	pol	2014	0.3197	21.0
ARG	pol	2015	0.347	22.0
ARG	pol	2016	0.35	22.0
ARG	pol	2017	0.356	21.0
ARG	pol	2018	0.356	23.0
ARG	pol	2019	0.387	22.0
ARG	pol	2020	0.39	25.0
ARM	glob	2006	nan	nan
ARM	glob	2007	0.6651	71.0
ARM	glob	2008	0.6677	78.0
ARM	glob	2009	0.6619	90.0
ARM	glob	2010	0.6669	84.0
ARM	glob	2011	0.6654	84.0
ARM	glob	2012	0.6636	92.0
ARM	glob	2013	0.6634	94.0
ARM	glob	2014	0.6622	103.0
ARM	glob	2015	0.668	105.0
ARM	glob	2016	0.669	102.0
ARM	glob	2017	0.677	97.0
ARM	glob	2018	0.678	98.0
ARM	glob	2019	0.684	98.0
ARM	glob	2020	0.673	114.0
ARM	eco	2006	nan	nan
ARM	eco	2007	0.7211	24.0
ARM	eco	2008	0.6969	36.0
ARM	eco	2009	0.6712	56.0
ARM	eco	2010	0.669	59.0
ARM	eco	2011	0.658	62.0
ARM	eco	2012	0.6446	76.0
ARM	eco	2013	0.6384	82.0
ARM	eco	2014	0.6478	82.0
ARM	eco	2015	0.664	79.0
ARM	eco	2016	0.671	69.0
ARM	eco	2017	0.671	71.0
ARM	eco	2018	0.675	73.0
ARM	eco	2019	0.673	78.0
ARM	eco	2020	0.655	96.0
ARM	edu	2006	nan	nan
ARM	edu	2007	0.999	24.0
ARM	edu	2008	0.9993	29.0
ARM	edu	2009	0.9992	29.0
ARM	edu	2010	0.9994	26.0
ARM	edu	2011	0.9994	27.0
ARM	edu	2012	0.9995	25.0
ARM	edu	2013	0.9995	29.0
ARM	edu	2014	0.9996	31.0
ARM	edu	2015	1.0	35.0
ARM	edu	2016	1.0	27.0
ARM	edu	2017	0.999	42.0
ARM	edu	2018	1.0	35.0
ARM	edu	2019	0.998	45.0
ARM	edu	2020	0.998	46.0
ARM	health	2006	nan	nan
ARM	health	2007	0.9227	128.0
ARM	health	2008	0.9279	130.0
ARM	health	2009	0.9332	133.0
ARM	health	2010	0.937	130.0
ARM	health	2011	0.9419	131.0
ARM	health	2012	0.9441	130.0
ARM	health	2013	0.9497	131.0
ARM	health	2014	0.9332	142.0
ARM	health	2015	0.939	144.0
ARM	health	2016	0.939	143.0
ARM	health	2017	0.939	143.0
ARM	health	2018	0.939	148.0
ARM	health	2019	0.948	148.0
ARM	health	2020	0.965	150.0
ARM	pol	2006	nan	nan
ARM	pol	2007	0.0173	125.0
ARM	pol	2008	0.0468	118.0
ARM	pol	2009	0.0439	123.0
ARM	pol	2010	0.0621	106.0
ARM	pol	2011	0.0623	108.0
ARM	pol	2012	0.0662	114.0
ARM	pol	2013	0.0662	115.0
ARM	pol	2014	0.068	123.0
ARM	pol	2015	0.068	125.0
ARM	pol	2016	0.068	125.0
ARM	pol	2017	0.099	111.0
ARM	pol	2018	0.099	115.0
ARM	pol	2019	0.118	114.0
ARM	pol	2020	0.091	132.0
AUS	glob	2006	0.7163	15.0
AUS	glob	2007	0.7204	17.0
AUS	glob	2008	0.7241	21.0
AUS	glob	2009	0.7282	20.0
AUS	glob	2010	0.7271	23.0
AUS	glob	2011	0.7291	23.0
AUS	glob	2012	0.7294	25.0
AUS	glob	2013	0.739	24.0
AUS	glob	2014	0.7409	24.0
AUS	glob	2015	0.733	36.0
AUS	glob	2016	0.721	46.0
AUS	glob	2017	0.731	35.0
AUS	glob	2018	0.73	39.0
AUS	glob	2019	0.731	44.0
AUS	glob	2020	0.731	50.0
AUS	eco	2006	0.7259	12.0
AUS	eco	2007	0.744	12.0
AUS	eco	2008	0.7307	22.0
AUS	eco	2009	0.7477	19.0
AUS	eco	2010	0.7428	24.0
AUS	eco	2011	0.7565	18.0
AUS	eco	2012	0.7593	22.0
AUS	eco	2013	0.7879	13.0
AUS	eco	2014	0.801	14.0
AUS	eco	2015	0.766	32.0
AUS	eco	2016	0.719	42.0
AUS	eco	2017	0.724	42.0
AUS	eco	2018	0.718	46.0
AUS	eco	2019	0.722	49.0
AUS	eco	2020	0.7	70.0
AUS	edu	2006	1.0	1.0
AUS	edu	2007	1.0	1.0
AUS	edu	2008	1.0	1.0
AUS	edu	2009	1.0	1.0
AUS	edu	2010	1.0	1.0
AUS	edu	2011	1.0	1.0
AUS	edu	2012	1.0	1.0
AUS	edu	2013	1.0	1.0
AUS	edu	2014	1.0	1.0
AUS	edu	2015	1.0	1.0
AUS	edu	2016	1.0	1.0
AUS	edu	2017	1.0	1.0
AUS	edu	2018	1.0	1.0
AUS	edu	2019	1.0	1.0
AUS	edu	2020	1.0	1.0
AUS	health	2006	0.9761	57.0
AUS	health	2007	0.9741	71.0
AUS	health	2008	0.9741	73.0
AUS	health	2009	0.9737	78.0
AUS	health	2010	0.9739	73.0
AUS	health	2011	0.9739	74.0
AUS	health	2012	0.9735	73.0
AUS	health	2013	0.9735	69.0
AUS	health	2014	0.9737	70.0
AUS	health	2015	0.974	74.0
AUS	health	2016	0.974	72.0
AUS	health	2017	0.97	104.0
AUS	health	2018	0.971	103.0
AUS	health	2019	0.971	104.0
AUS	health	2020	0.98	99.0
AUS	pol	2006	0.1634	32.0
AUS	pol	2007	0.1634	35.0
AUS	pol	2008	0.1915	37.0
AUS	pol	2009	0.1915	39.0
AUS	pol	2010	0.1917	39.0
AUS	pol	2011	0.1861	38.0
AUS	pol	2012	0.1847	42.0
AUS	pol	2013	0.1945	43.0
AUS	pol	2014	0.1887	53.0
AUS	pol	2015	0.193	61.0
AUS	pol	2016	0.193	61.0
AUS	pol	2017	0.232	48.0
AUS	pol	2018	0.232	49.0
AUS	pol	2019	0.231	57.0
AUS	pol	2020	0.258	54.0
AUT	glob	2006	0.6986	27.0
AUT	glob	2007	0.706	27.0
AUT	glob	2008	0.7153	29.0
AUT	glob	2009	0.7031	42.0
AUT	glob	2010	0.7091	37.0
AUT	glob	2011	0.7165	34.0
AUT	glob	2012	0.7391	20.0
AUT	glob	2013	0.7437	19.0
AUT	glob	2014	0.7266	36.0
AUT	glob	2015	0.733	37.0
AUT	glob	2016	0.716	52.0
AUT	glob	2017	0.709	57.0
AUT	glob	2018	0.718	53.0
AUT	glob	2019	0.744	34.0
AUT	glob	2020	0.777	21.0
AUT	eco	2006	0.5526	81.0
AUT	eco	2007	0.5824	89.0
AUT	eco	2008	0.5872	84.0
AUT	eco	2009	0.5701	102.0
AUT	eco	2010	0.5952	92.0
AUT	eco	2011	0.6245	77.0
AUT	eco	2012	0.6515	70.0
AUT	eco	2013	0.6642	69.0
AUT	eco	2014	0.6704	68.0
AUT	eco	2015	0.705	52.0
AUT	eco	2016	0.65	84.0
AUT	eco	2017	0.66	80.0
AUT	eco	2018	0.658	81.0
AUT	eco	2019	0.659	86.0
AUT	eco	2020	0.665	88.0
AUT	edu	2006	0.9802	68.0
AUT	edu	2007	0.9802	77.0
AUT	edu	2008	0.9886	76.0
AUT	edu	2009	0.9886	78.0
AUT	edu	2010	0.9886	75.0
AUT	edu	2011	0.9886	76.0
AUT	edu	2012	0.9946	49.0
AUT	edu	2013	1.0	1.0
AUT	edu	2014	1.0	1.0
AUT	edu	2015	1.0	1.0
AUT	edu	2016	0.987	86.0
AUT	edu	2017	0.988	84.0
AUT	edu	2018	1.0	1.0
AUT	edu	2019	1.0	1.0
AUT	edu	2020	1.0	1.0
AUT	health	2006	0.9796	1.0
AUT	health	2007	0.9796	1.0
AUT	health	2008	0.9796	1.0
AUT	health	2009	0.9796	1.0
AUT	health	2010	0.9787	44.0
AUT	health	2011	0.9787	46.0
AUT	health	2012	0.9787	50.0
AUT	health	2013	0.9787	47.0
AUT	health	2014	0.9789	52.0
AUT	health	2015	0.98	1.0
AUT	health	2016	0.98	1.0
AUT	health	2017	0.975	72.0
AUT	health	2018	0.974	81.0
AUT	health	2019	0.974	82.0
AUT	health	2020	0.979	83.0
AUT	pol	2006	0.2821	14.0
AUT	pol	2007	0.2821	15.0
AUT	pol	2008	0.3057	14.0
AUT	pol	2009	0.2744	23.0
AUT	pol	2010	0.2742	26.0
AUT	pol	2011	0.2744	27.0
AUT	pol	2012	0.3318	18.0
AUT	pol	2013	0.3318	19.0
AUT	pol	2014	0.2573	36.0
AUT	pol	2015	0.246	39.0
AUT	pol	2016	0.246	41.0
AUT	pol	2017	0.216	54.0
AUT	pol	2018	0.242	44.0
AUT	pol	2019	0.344	30.0
AUT	pol	2020	0.473	17.0
AZE	glob	2006	nan	nan
AZE	glob	2007	0.6781	59.0
AZE	glob	2008	0.6856	61.0
AZE	glob	2009	0.6626	89.0
AZE	glob	2010	0.6446	100.0
AZE	glob	2011	0.6577	91.0
AZE	glob	2012	0.6546	99.0
AZE	glob	2013	0.6582	99.0
AZE	glob	2014	0.6753	94.0
AZE	glob	2015	0.675	96.0
AZE	glob	2016	0.684	86.0
AZE	glob	2017	0.676	98.0
AZE	glob	2018	0.68	97.0
AZE	glob	2019	0.687	94.0
AZE	glob	2020	0.688	100.0
AZE	eco	2006	nan	nan
AZE	eco	2007	0.7319	19.0
AZE	eco	2008	0.7863	4.0
AZE	eco	2009	0.6863	47.0
AZE	eco	2010	0.6352	73.0
AZE	eco	2011	0.642	70.0
AZE	eco	2012	0.6489	74.0
AZE	eco	2013	0.6591	72.0
AZE	eco	2014	0.7087	52.0
AZE	eco	2015	0.701	54.0
AZE	eco	2016	0.728	38.0
AZE	eco	2017	0.717	45.0
AZE	eco	2018	0.716	47.0
AZE	eco	2019	0.748	33.0
AZE	eco	2020	0.748	36.0
AZE	edu	2006	nan	nan
AZE	edu	2007	0.9715	82.0
AZE	edu	2008	0.9673	91.0
AZE	edu	2009	0.9699	94.0
AZE	edu	2010	0.9671	93.0
AZE	edu	2011	0.9891	73.0
AZE	edu	2012	0.983	84.0
AZE	edu	2013	0.982	85.0
AZE	edu	2014	0.984	92.0
AZE	edu	2015	0.984	90.0
AZE	edu	2016	0.988	83.0
AZE	edu	2017	0.984	91.0
AZE	edu	2018	1.0	33.0
AZE	edu	2019	0.996	60.0
AZE	edu	2020	0.996	62.0
AZE	health	2006	nan	nan
AZE	health	2007	0.926	127.0
AZE	health	2008	0.9313	129.0
AZE	health	2009	0.9366	132.0
AZE	health	2010	0.9287	134.0
AZE	health	2011	0.9331	132.0
AZE	health	2012	0.92	135.0
AZE	health	2013	0.9254	136.0
AZE	health	2014	0.9441	137.0
AZE	health	2015	0.95	139.0
AZE	health	2016	0.95	138.0
AZE	health	2017	0.941	142.0
AZE	health	2018	0.941	146.0
AZE	health	2019	0.941	152.0
AZE	health	2020	0.98	154.0
AZE	pol	2006	nan	nan
AZE	pol	2007	0.0831	85.0
AZE	pol	2008	0.0575	114.0
AZE	pol	2009	0.0575	119.0
AZE	pol	2010	0.0473	113.0
AZE	pol	2011	0.0665	103.0
AZE	pol	2012	0.0663	113.0
AZE	pol	2013	0.0663	114.0
AZE	pol	2014	0.0642	127.0
AZE	pol	2015	0.063	129.0
AZE	pol	2016	0.069	124.0
AZE	pol	2017	0.063	131.0
AZE	pol	2018	0.063	137.0
AZE	pol	2019	0.063	140.0
AZE	pol	2020	0.069	141.0
BDI	glob	2006	nan	nan
BDI	glob	2007	nan	nan
BDI	glob	2008	nan	nan
BDI	glob	2009	nan	nan
BDI	glob	2010	nan	nan
BDI	glob	2011	0.727	24.0
BDI	glob	2012	0.7338	24.0
BDI	glob	2013	0.7397	22.0
BDI	glob	2014	0.7565	17.0
BDI	glob	2015	0.748	23.0
BDI	glob	2016	0.768	12.0
BDI	glob	2017	0.755	22.0
BDI	glob	2018	0.741	31.0
BDI	glob	2019	0.745	32.0
BDI	glob	2020	0.769	26.0
BDI	eco	2006	nan	nan
BDI	eco	2007	nan	nan
BDI	eco	2008	nan	nan
BDI	eco	2009	nan	nan
BDI	eco	2010	nan	nan
BDI	eco	2011	0.8355	4.0
BDI	eco	2012	0.8322	3.0
BDI	eco	2013	0.8307	3.0
BDI	eco	2014	0.863	1.0
BDI	eco	2015	0.845	3.0
BDI	eco	2016	0.865	1.0
BDI	eco	2017	0.911	1.0
BDI	eco	2018	0.839	5.0
BDI	eco	2019	0.837	6.0
BDI	eco	2020	0.855	3.0
BDI	edu	2006	nan	nan
BDI	edu	2007	nan	nan
BDI	edu	2008	nan	nan
BDI	edu	2009	nan	nan
BDI	edu	2010	nan	nan
BDI	edu	2011	0.8565	119.0
BDI	edu	2012	0.8644	117.0
BDI	edu	2013	0.8895	114.0
BDI	edu	2014	0.9013	120.0
BDI	edu	2015	0.857	131.0
BDI	edu	2016	0.917	124.0
BDI	edu	2017	0.876	128.0
BDI	edu	2018	0.89	130.0
BDI	edu	2019	0.896	131.0
BDI	edu	2020	0.896	132.0
BDI	health	2006	nan	nan
BDI	health	2007	nan	nan
BDI	health	2008	nan	nan
BDI	health	2009	nan	nan
BDI	health	2010	nan	nan
BDI	health	2011	0.9685	98.0
BDI	health	2012	0.9685	100.0
BDI	health	2013	0.9685	99.0
BDI	health	2014	0.9796	1.0
BDI	health	2015	0.974	68.0
BDI	health	2016	0.974	66.0
BDI	health	2017	0.98	1.0
BDI	health	2018	0.978	55.0
BDI	health	2019	0.978	51.0
BDI	health	2020	0.945	33.0
BDI	pol	2006	nan	nan
BDI	pol	2007	nan	nan
BDI	pol	2008	nan	nan
BDI	pol	2009	nan	nan
BDI	pol	2010	nan	nan
BDI	pol	2011	0.2477	32.0
BDI	pol	2012	0.2702	30.0
BDI	pol	2013	0.2702	31.0
BDI	pol	2014	0.2822	30.0
BDI	pol	2015	0.314	28.0
BDI	pol	2016	0.314	28.0
BDI	pol	2017	0.255	40.0
BDI	pol	2018	0.255	40.0
BDI	pol	2019	0.269	43.0
BDI	pol	2020	0.345	36.0
BEL	glob	2006	0.7078	20.0
BEL	glob	2007	0.7198	19.0
BEL	glob	2008	0.7163	28.0
BEL	glob	2009	0.7165	33.0
BEL	glob	2010	0.7509	14.0
BEL	glob	2011	0.7531	13.0
BEL	glob	2012	0.7652	12.0
BEL	glob	2013	0.7684	11.0
BEL	glob	2014	0.7809	10.0
BEL	glob	2015	0.753	19.0
BEL	glob	2016	0.745	24.0
BEL	glob	2017	0.739	31.0
BEL	glob	2018	0.738	32.0
BEL	glob	2019	0.75	27.0
BEL	glob	2020	0.789	13.0
BEL	eco	2006	0.6199	54.0
BEL	eco	2007	0.6684	46.0
BEL	eco	2008	0.6519	60.0
BEL	eco	2009	0.653	64.0
BEL	eco	2010	0.7097	39.0
BEL	eco	2011	0.7187	36.0
BEL	eco	2012	0.7241	36.0
BEL	eco	2013	0.7367	34.0
BEL	eco	2014	0.7577	27.0
BEL	eco	2015	0.762	34.0
BEL	eco	2016	0.731	37.0
BEL	eco	2017	0.716	46.0
